"fecha_siniestro","monto_siniestro"
nov. 2011,0.545
nov. 2011,0.377
nov. 2011,0.474
nov. 2011,0.367
nov. 2011,0.316
nov. 2011,0.377
nov. 2011,0.557
nov. 2011,1.075
nov. 2011,0.44
dic. 2011,0.311
dic. 2011,0.406
dic. 2011,0.561
dic. 2011,0.362
dic. 2011,0.588
ene. 2012,0.3
ene. 2012,0.389
ene. 2012,0.429
ene. 2012,3.148
ene. 2012,0.747
ene. 2012,0.501
ene. 2012,0.666
feb. 2012,0.313
feb. 2012,0.732
feb. 2012,1.784
feb. 2012,0.906
feb. 2012,0.359
mar. 2012,0.384
mar. 2012,0.44
mar. 2012,0.312
mar. 2012,0.395
mar. 2012,0.381
abr. 2012,0.372
abr. 2012,0.587
abr. 2012,0.918
may. 2012,0.363
may. 2012,0.418
may. 2012,0.681
may. 2012,0.852
jun. 2012,0.333
jun. 2012,0.538
jun. 2012,0.505
jun. 2012,0.37
jun. 2012,0.309
jun. 2012,0.322
jul. 2012,1.191
jul. 2012,0.599
jul. 2012,0.307
jul. 2012,0.353
jul. 2012,0.495
jul. 2012,0.322
ago. 2012,0.306
ago. 2012,0.418
ago. 2012,0.339
ago. 2012,0.431
sep. 2012,0.35
sep. 2012,0.324
sep. 2012,0.339
sep. 2012,0.327
sep. 2012,0.416
sep. 2012,0.395
sep. 2012,1.165
oct. 2012,0.35
oct. 2012,0.656
oct. 2012,0.303
nov. 2012,1.293
nov. 2012,0.303
nov. 2012,0.378
nov. 2012,1.241
nov. 2012,0.319
nov. 2012,0.506
nov. 2012,0.715
dic. 2012,0.328
dic. 2012,0.449
dic. 2012,1.667
dic. 2012,0.311
dic. 2012,0.313
dic. 2012,0.369
dic. 2012,0.506
ene. 2013,0.409
ene. 2013,0.603
ene. 2013,0.383
ene. 2013,0.303
ene. 2013,0.603
ene. 2013,0.34
ene. 2013,0.89
feb. 2013,0.586
feb. 2013,0.4
feb. 2013,0.422
feb. 2013,0.386
mar. 2013,0.353
mar. 2013,1.331
mar. 2013,0.568
mar. 2013,0.472
abr. 2013,0.325
abr. 2013,0.356
abr. 2013,0.665
may. 2013,1.296
may. 2013,0.452
may. 2013,0.41
may. 2013,0.311
may. 2013,0.324
may. 2013,0.337
may. 2013,0.645
jun. 2013,0.428
jun. 2013,0.673
jun. 2013,0.403
jun. 2013,0.342
jul. 2013,1.108
jul. 2013,0.589
jul. 2013,0.986
jul. 2013,0.335
jul. 2013,0.477
jul. 2013,0.408
jul. 2013,0.328
jul. 2013,0.314
jul. 2013,0.736
jul. 2013,0.487
jul. 2013,8.868
ago. 2013,0.365
ago. 2013,0.383
ago. 2013,0.335
ago. 2013,0.305
ago. 2013,0.345
ago. 2013,0.423
ago. 2013,0.313
sep. 2013,0.39
sep. 2013,0.351
sep. 2013,0.831
sep. 2013,0.397
sep. 2013,0.349
sep. 2013,0.404
oct. 2013,0.906
oct. 2013,0.728
oct. 2013,0.41
oct. 2013,0.305
oct. 2013,0.324
nov. 2013,0.58
nov. 2013,0.315
nov. 2013,0.357
nov. 2013,0.677
nov. 2013,1.253
dic. 2013,0.341
dic. 2013,0.316
dic. 2013,1.546
dic. 2013,0.375
dic. 2013,0.403
ene. 2014,0.69
ene. 2014,0.394
ene. 2014,0.534
ene. 2014,0.364
ene. 2014,0.506
ene. 2014,0.345
ene. 2014,0.326
ene. 2014,0.566
ene. 2014,0.618
feb. 2014,0.587
feb. 2014,0.516
feb. 2014,0.405
mar. 2014,0.457
mar. 2014,0.307
mar. 2014,0.402
abr. 2014,0.307
abr. 2014,0.341
abr. 2014,0.308
abr. 2014,0.44
abr. 2014,0.374
may. 2014,0.439
may. 2014,0.792
may. 2014,0.502
may. 2014,0.369
may. 2014,0.516
may. 2014,0.916
may. 2014,0.868
may. 2014,2.363
may. 2014,0.519
jun. 2014,0.314
jun. 2014,1.179
jun. 2014,0.341
jun. 2014,0.345
jun. 2014,0.665
jun. 2014,0.519
jul. 2014,0.757
jul. 2014,0.452
jul. 2014,0.344
jul. 2014,0.377
jul. 2014,0.475
jul. 2014,0.691
jul. 2014,0.399
ago. 2014,0.501
ago. 2014,0.412
sep. 2014,0.442
sep. 2014,0.463
sep. 2014,0.54
sep. 2014,0.567
sep. 2014,0.324
sep. 2014,0.312
sep. 2014,0.446
oct. 2014,0.382
oct. 2014,0.322
oct. 2014,0.398
oct. 2014,0.355
oct. 2014,0.405
oct. 2014,0.34
nov. 2014,0.342
nov. 2014,0.356
nov. 2014,1.022
nov. 2014,2.252
nov. 2014,0.33
nov. 2014,0.477
nov. 2014,0.577
nov. 2014,2.564
nov. 2014,0.311
dic. 2014,0.327
dic. 2014,0.366
dic. 2014,1.18
dic. 2014,0.606
ene. 2015,0.497
ene. 2015,0.51
ene. 2015,0.434
feb. 2015,1.21
feb. 2015,0.316
feb. 2015,0.358
feb. 2015,0.473
feb. 2015,0.483
feb. 2015,0.373
feb. 2015,0.367
feb. 2015,0.462
mar. 2015,0.358
mar. 2015,0.428
mar. 2015,0.323
mar. 2015,0.833
mar. 2015,0.61
mar. 2015,0.341
mar. 2015,0.304
mar. 2015,0.393
mar. 2015,0.522
mar. 2015,0.398
mar. 2015,0.51
mar. 2015,0.992
mar. 2015,1.026
abr. 2015,0.511
abr. 2015,0.98
abr. 2015,0.585
abr. 2015,0.336
abr. 2015,0.393
abr. 2015,0.767
abr. 2015,0.371
may. 2015,0.674
may. 2015,0.425
may. 2015,0.997
may. 2015,0.347
jun. 2015,0.305
jun. 2015,0.346
jun. 2015,1.077
jun. 2015,0.452
jun. 2015,0.37
jun. 2015,0.302
jun. 2015,0.315
jun. 2015,0.799
jun. 2015,0.377
jul. 2015,2.007
jul. 2015,0.323
jul. 2015,0.549
jul. 2015,0.442
jul. 2015,0.484
ago. 2015,0.484
ago. 2015,0.31
ago. 2015,0.315
ago. 2015,0.42
ago. 2015,0.368
sep. 2015,0.991
sep. 2015,0.305
sep. 2015,1.043
sep. 2015,0.41
sep. 2015,0.418
sep. 2015,0.94
sep. 2015,0.308
sep. 2015,0.308
sep. 2015,0.432
oct. 2015,0.402
oct. 2015,0.367
oct. 2015,0.918
oct. 2015,0.367
oct. 2015,0.336
oct. 2015,0.473
nov. 2015,0.474
nov. 2015,0.381
nov. 2015,0.473
nov. 2015,0.301
nov. 2015,0.457
nov. 2015,1.027
dic. 2015,0.318
dic. 2015,0.738
dic. 2015,0.659
dic. 2015,0.53
dic. 2015,0.337
ene. 2016,0.656
ene. 2016,0.404
ene. 2016,0.391
ene. 2016,0.523
ene. 2016,0.959
feb. 2016,0.451
feb. 2016,0.556
feb. 2016,0.749
feb. 2016,1.096
feb. 2016,0.491
feb. 2016,0.36
feb. 2016,0.501
mar. 2016,0.387
mar. 2016,0.503
mar. 2016,0.519
mar. 2016,0.38
abr. 2016,0.339
abr. 2016,0.568
abr. 2016,0.42
abr. 2016,1.034
abr. 2016,0.887
abr. 2016,0.316
may. 2016,0.718
may. 2016,0.358
may. 2016,0.407
may. 2016,0.462
may. 2016,0.726
may. 2016,0.344
may. 2016,0.506
may. 2016,1.795
may. 2016,0.335
jun. 2016,0.62
jun. 2016,0.529
jun. 2016,0.487
jun. 2016,0.32
jun. 2016,1.415
jun. 2016,0.309
jun. 2016,0.43
jun. 2016,0.367
jul. 2016,0.311
jul. 2016,0.327
jul. 2016,0.347
jul. 2016,0.376
jul. 2016,0.302
jul. 2016,0.667
jul. 2016,0.567
jul. 2016,0.498
ago. 2016,0.422
ago. 2016,0.434
sep. 2016,0.463
sep. 2016,0.819
sep. 2016,0.323
sep. 2016,0.603
oct. 2016,0.724
oct. 2016,0.797
oct. 2016,0.311
oct. 2016,0.373
oct. 2016,0.333
nov. 2016,0.476
nov. 2016,0.797
nov. 2016,0.414
nov. 2016,0.466
nov. 2016,0.324
nov. 2016,0.317
dic. 2016,0.617
dic. 2016,1.156
dic. 2016,0.491
dic. 2016,0.314
dic. 2016,0.941
ene. 2017,1.796
ene. 2017,0.561
ene. 2017,0.33
ene. 2017,0.396
ene. 2017,0.368
feb. 2017,0.574
feb. 2017,0.392
feb. 2017,0.618
feb. 2017,0.75
feb. 2017,0.3
feb. 2017,0.498
mar. 2017,0.644
mar. 2017,0.301
mar. 2017,0.369
mar. 2017,0.331
abr. 2017,0.408
abr. 2017,1.095
abr. 2017,0.458
abr. 2017,0.788
abr. 2017,0.365
abr. 2017,0.434
may. 2017,0.518
may. 2017,0.541
may. 2017,1.22
jun. 2017,0.308
jun. 2017,1.182
jun. 2017,0.429
jun. 2017,1.567
jun. 2017,0.419
jul. 2017,0.3
jul. 2017,0.632
jul. 2017,0.361
jul. 2017,0.479
jul. 2017,0.318
jul. 2017,0.333
ago. 2017,0.401
ago. 2017,0.377
ago. 2017,0.459
ago. 2017,0.303
ago. 2017,0.487
ago. 2017,1.701
ago. 2017,1.465
sep. 2017,0.348
sep. 2017,1.161
sep. 2017,0.359
sep. 2017,0.303
sep. 2017,0.515
sep. 2017,0.327
oct. 2017,0.325
oct. 2017,0.434
oct. 2017,0.625
oct. 2017,0.305
oct. 2017,0.517
nov. 2017,0.378
nov. 2017,0.363
dic. 2017,0.315
dic. 2017,0.402
dic. 2017,0.315
dic. 2017,0.635
dic. 2017,0.391
dic. 2017,0.478
dic. 2017,0.39
dic. 2017,0.304
ene. 2018,1.305
ene. 2018,0.525
ene. 2018,0.369
ene. 2018,0.934
ene. 2018,0.587
ene. 2018,0.386
ene. 2018,0.375
feb. 2018,0.516
feb. 2018,1.504
feb. 2018,0.803
feb. 2018,0.412
feb. 2018,0.345
feb. 2018,1.21
mar. 2018,0.579
mar. 2018,0.39
mar. 2018,0.307
mar. 2018,0.495
mar. 2018,3.187
abr. 2018,0.306
abr. 2018,0.553
abr. 2018,0.32
abr. 2018,0.346
abr. 2018,0.343
abr. 2018,0.644
abr. 2018,0.359
abr. 2018,0.889
may. 2018,0.389
may. 2018,0.422
may. 2018,0.303
may. 2018,0.33
jun. 2018,0.494
jun. 2018,0.32
jun. 2018,0.425
jun. 2018,0.378
jul. 2018,0.332
jul. 2018,0.361
jul. 2018,0.743
jul. 2018,0.432
jul. 2018,0.378
jul. 2018,0.315
jul. 2018,0.701
jul. 2018,0.331
jul. 2018,0.363
jul. 2018,0.452
jul. 2018,0.848
jul. 2018,0.341
jul. 2018,0.458
ago. 2018,1.393
ago. 2018,0.529
ago. 2018,0.395
ago. 2018,0.672
ago. 2018,0.431
sep. 2018,0.315
sep. 2018,2.681
sep. 2018,1.02
sep. 2018,0.819
sep. 2018,0.475
sep. 2018,0.495
sep. 2018,0.339
sep. 2018,0.478
oct. 2018,0.492
oct. 2018,0.982
oct. 2018,0.705
oct. 2018,1.321
oct. 2018,0.526
oct. 2018,0.482
oct. 2018,0.344
nov. 2018,0.587
nov. 2018,0.326
nov. 2018,0.631
nov. 2018,0.421
nov. 2018,0.714
nov. 2018,0.462
dic. 2018,0.341
dic. 2018,0.307
dic. 2018,0.436
dic. 2018,0.336
ene. 2019,0.351
ene. 2019,0.395
ene. 2019,0.491
ene. 2019,0.923
ene. 2019,0.405
ene. 2019,0.442
feb. 2019,0.579
feb. 2019,1.324
feb. 2019,0.31
feb. 2019,0.771
feb. 2019,2.452
feb. 2019,0.801
feb. 2019,0.493
feb. 2019,0.382
feb. 2019,0.306
feb. 2019,1.259
mar. 2019,0.743
mar. 2019,0.378
mar. 2019,0.799
abr. 2019,0.333
abr. 2019,0.301
abr. 2019,0.328
may. 2019,0.575
may. 2019,0.582
may. 2019,0.429
jun. 2019,0.311
jun. 2019,0.428
jun. 2019,1.32
jul. 2019,0.301
jul. 2019,0.317
jul. 2019,3.249
ago. 2019,0.598
sep. 2019,0.339
sep. 2019,0.332
sep. 2019,0.393
sep. 2019,0.392
sep. 2019,0.336
sep. 2019,0.33
oct. 2019,0.303
oct. 2019,0.616
oct. 2019,0.746
oct. 2019,0.448
oct. 2019,0.386
oct. 2019,0.539
nov. 2019,0.456
nov. 2019,0.995
nov. 2019,0.419
nov. 2019,0.331
nov. 2019,0.712
dic. 2019,0.308
dic. 2019,0.534
dic. 2019,0.787
dic. 2019,0.337
dic. 2019,0.317
dic. 2019,0.369
dic. 2019,0.355
dic. 2019,0.743
dic. 2019,0.347
dic. 2019,1.339
ene. 2020,0.315
ene. 2020,0.358
ene. 2020,0.443
feb. 2020,0.415
feb. 2020,0.708
feb. 2020,0.742
feb. 2020,0.557
feb. 2020,0.306
feb. 2020,0.43
feb. 2020,0.588
feb. 2020,0.32
feb. 2020,0.343
mar. 2020,0.668
mar. 2020,0.578
mar. 2020,0.325
mar. 2020,0.512
mar. 2020,0.72
mar. 2020,0.81
abr. 2020,0.662
abr. 2020,0.598
abr. 2020,0.427
abr. 2020,0.654
abr. 2020,0.384
abr. 2020,0.302
abr. 2020,0.417
abr. 2020,0.372
abr. 2020,0.399
may. 2020,0.378
may. 2020,0.476
may. 2020,0.411
may. 2020,1.179
jun. 2020,0.591
jun. 2020,0.386
jun. 2020,0.627
jun. 2020,0.38
jun. 2020,0.862
jun. 2020,0.309
jun. 2020,0.437
jun. 2020,0.312
jun. 2020,0.406
jul. 2020,0.836
jul. 2020,0.372
jul. 2020,0.61
jul. 2020,0.323
jul. 2020,0.49
jul. 2020,0.435
jul. 2020,1.469
ago. 2020,0.318
ago. 2020,0.575
ago. 2020,0.359
ago. 2020,0.436
sep. 2020,0.339
sep. 2020,1.075
sep. 2020,0.331
sep. 2020,0.312
sep. 2020,0.428
oct. 2020,0.864
oct. 2020,0.319
oct. 2020,0.342
oct. 2020,1.091
oct. 2020,0.8
oct. 2020,0.863
oct. 2020,0.957
oct. 2020,0.36
oct. 2020,0.326
oct. 2020,0.594
nov. 2020,0.971
nov. 2020,0.932
nov. 2020,0.442
nov. 2020,0.457
nov. 2020,0.307
dic. 2020,0.304
dic. 2020,0.688
dic. 2020,0.525
dic. 2020,0.552
ene. 2021,0.491
ene. 2021,0.445
ene. 2021,0.411
ene. 2021,0.363
feb. 2021,0.308
feb. 2021,0.478
feb. 2021,0.69
feb. 2021,0.433
feb. 2021,0.554
feb. 2021,0.489
feb. 2021,0.428
mar. 2021,0.352
mar. 2021,0.525
mar. 2021,0.703
mar. 2021,0.535
mar. 2021,0.327
mar. 2021,0.302
abr. 2021,0.464
abr. 2021,0.43
may. 2021,1.247
may. 2021,0.301
may. 2021,0.441
may. 2021,0.301
may. 2021,0.325
